City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,coahuayana de hidalgo,18.7,-103.6583,23.55,94,100,1.53,MX,1733712764
212,robertsport,6.7533,-11.3686,27.06,69,86,1.71,LR,1733712766
213,arraial do cabo,-22.9661,-42.0278,23.78,91,100,2.06,BR,1733712767
214,rosetta,31.4044,30.4164,14.02,55,1,3.08,EG,1733712768
215,tsiombe,-25.3,45.4833,23.7,73,47,6.16,MG,1733712769
216,tomah,43.9786,-90.504,4.73,75,100,0.0,US,1733712770
217,visnjevac,45.5686,18.6139,3.96,93,100,3.09,HR,1733712771
218,as samawah,31.332,45.2944,17.12,41,0,5.36,IQ,1733712772
219,hobyo,5.3505,48.5268,25.57,78,59,8.61,SO,1733712773
220,guerrero negro,27.9769,-114.0611,16.41,75,0,3.5,MX,1733712774
221,afaahiti,-17.75,-149.2833,24.98,83,97,8.42,PF,1733712775
222,codrington,-38.2667,141.9667,17.74,60,35,6.81,AU,1733712777
223,redding,40.5865,-122.3917,7.73,64,0,2.66,US,1733712617
224,keflavik,64.0049,-22.5624,7.24,93,75,5.14,IS,1733712780
225,lagunas,-5.2269,-75.6753,22.73,99,100,0.68,PE,1733712782
226,cabo san lucas,22.8909,-109.9124,23.2,53,40,2.06,MX,1733712783
227,kainantu,-6.2887,145.8655,23.63,67,79,2.45,PG,1733712784
228,merizo village,13.2658,144.6691,31.31,80,84,5.61,GU,1733712786
229,pitimbu,-7.4706,-34.8086,25.96,73,1,6.24,BR,1733712787
230,sidi akkacha,36.4647,1.3026,11.16,58,21,10.07,DZ,1733712788
231,jos,9.9167,8.9,14.39,31,59,2.67,NG,1733712789
232,ballina,-28.8667,153.5667,26.8,79,36,4.81,AU,1733712790
233,gofitskoye,45.0792,43.0464,4.36,91,100,5.95,RU,1733712791
234,cabinda,-5.55,12.2,25.24,89,98,1.33,AO,1733712532
235,gurupa,-1.405,-51.64,23.5,94,100,1.53,BR,1733712793
236,taltal,-25.4,-70.4833,18.29,71,4,1.16,CL,1733712794
237,argo,37.6333,22.7333,14.45,79,38,2.67,GR,1733712796
238,pangai,-19.8,-174.35,29.06,79,75,4.63,TO,1733712797
